time,V(n010),V(n011),V(n014),I(Rchip2)
0.000000000000000e+000,3.300000e+000,2.126303e-002,0.000000e+000,-2.455880e-038
9.999999824516700e-015,3.300000e+000,2.126303e-002,1.100000e-005,-1.579936e-013
1.999999964903340e-014,3.300000e+000,2.126303e-002,2.200000e-005,-4.212646e-013
3.999999929806680e-014,3.300000e+000,2.126303e-002,4.400000e-005,-1.389980e-012
7.999999859613360e-014,3.300000e+000,2.126303e-002,8.800000e-005,-5.179727e-012
1.599999971922672e-013,3.300000e+000,2.126303e-002,1.760000e-004,-2.033380e-011
3.199999943845344e-013,3.300000e+000,2.126303e-002,3.520000e-004,-8.091825e-011
6.399999887690688e-013,3.300000e+000,2.126303e-002,7.040000e-004,-3.230345e-010
1.279999977538138e-012,3.300000e+000,2.126304e-002,1.408000e-003,-1.290020e-009
2.559999955076275e-012,3.300000e+000,2.126308e-002,2.816000e-003,-5.148865e-009
5.119999910152551e-012,3.300000e+000,2.126325e-002,5.632000e-003,-2.053180e-008
1.023999982030510e-011,3.300000e+000,2.126386e-002,1.126400e-002,-7.528814e-008
1.637206539330787e-011,3.300000e+000,2.126490e-002,1.800927e-002,-1.696091e-007
1.752435472748071e-011,3.300000e+000,2.126515e-002,1.927679e-002,-1.926923e-007
1.982893339582637e-011,3.300000e+000,2.126574e-002,2.181183e-002,-2.460108e-007
2.083718656322760e-011,3.300000e+000,2.126602e-002,2.292090e-002,-2.711844e-007
2.146062826261573e-011,3.300000e+000,2.126619e-002,2.360669e-002,-2.874580e-007
2.146069859277528e-011,3.300000e+000,2.126619e-002,2.360677e-002,-2.874598e-007
2.146071617531517e-011,3.300000e+000,2.126619e-002,2.360679e-002,-2.874603e-007
2.146072057095015e-011,3.300000e+000,2.126619e-002,2.360679e-002,-2.874604e-007
2.146072166985889e-011,3.300000e+000,2.126619e-002,2.360679e-002,-2.874605e-007
2.146072386767637e-011,3.300000e+000,2.126619e-002,2.360680e-002,-2.874605e-007
2.146072486767637e-011,3.300000e+000,2.126619e-002,2.360680e-002,-2.874608e-007
1.021460724867677e-009,3.300000e+000,3.083769e-002,1.123607e+000,-6.590440e-004
2.021460724867676e-009,3.300000e+000,4.356315e-002,2.223607e+000,-1.441838e-003
3.000000000000000e-009,3.300000e+000,5.882642e-002,3.300000e+000,-2.299441e-003
3.000195312500000e-009,3.300000e+000,5.882962e-002,3.300000e+000,-2.299615e-003
3.000439453125000e-009,3.300000e+000,5.883356e-002,3.300000e+000,-2.299827e-003
3.000500488281250e-009,3.300000e+000,5.883454e-002,3.300000e+000,-2.299879e-003
3.000515747070313e-009,3.300000e+000,5.883478e-002,3.300000e+000,-2.299892e-003
3.000546264648438e-009,3.300000e+000,5.883528e-002,3.300000e+000,-2.299919e-003
3.000607299804688e-009,3.300000e+000,5.883625e-002,3.300000e+000,-2.299971e-003
3.000729370117188e-009,3.300000e+000,5.883820e-002,3.300000e+000,-2.300075e-003
3.000973510742188e-009,3.300000e+000,5.884210e-002,3.300000e+000,-2.300282e-003
3.001461791992188e-009,3.300000e+000,5.884986e-002,3.300000e+000,-2.300696e-003
3.002438354492188e-009,3.300000e+000,5.886532e-002,3.300000e+000,-2.301515e-003
3.004391479492188e-009,3.300000e+000,5.889613e-002,3.300000e+000,-2.303144e-003
3.004879760742188e-009,3.300000e+000,5.890381e-002,3.300000e+000,-2.303549e-003
3.005856323242188e-009,3.300000e+000,5.891915e-002,3.300000e+000,-2.304357e-003
3.006588745117188e-009,3.300000e+000,5.893064e-002,3.300000e+000,-2.304961e-003
3.007565307617188e-009,3.300000e+000,5.894595e-002,3.300000e+000,-2.305766e-003
3.007809448242188e-009,3.300000e+000,5.894977e-002,3.300000e+000,-2.305967e-003
3.008297729492188e-009,3.300000e+000,5.895742e-002,3.300000e+000,-2.306368e-003
3.009274291992188e-009,3.300000e+000,5.897271e-002,3.300000e+000,-2.307171e-003
3.009518432617188e-009,3.300000e+000,5.897653e-002,3.300000e+000,-2.307371e-003
3.010006713867188e-009,3.300000e+000,5.898416e-002,3.300000e+000,-2.307772e-003
3.010983276367188e-009,3.300000e+000,5.899943e-002,3.300000e+000,-2.308572e-003
3.011227416992188e-009,3.300000e+000,5.900325e-002,3.300000e+000,-2.308772e-003
3.011715698242188e-009,3.300000e+000,5.901088e-002,3.300000e+000,-2.309172e-003
3.012692260742188e-009,3.300000e+000,5.902613e-002,3.300000e+000,-2.309971e-003
3.013424682617188e-009,3.300000e+000,5.903757e-002,3.300000e+000,-2.310569e-003
3.014401245117188e-009,3.300000e+000,5.905281e-002,3.300000e+000,-2.311366e-003
3.015133666992188e-009,3.300000e+000,5.906423e-002,3.300000e+000,-2.311963e-003
3.016110229492188e-009,3.300000e+000,5.907945e-002,3.300000e+000,-2.312758e-003
3.016354370117188e-009,3.300000e+000,5.908326e-002,3.300000e+000,-2.312957e-003
3.016842651367188e-009,3.300000e+000,5.909086e-002,3.300000e+000,-2.313354e-003
3.017819213867188e-009,3.300000e+000,5.910607e-002,3.300000e+000,-2.314148e-003
3.018551635742188e-009,3.300000e+000,5.911747e-002,3.300000e+000,-2.314742e-003
3.019528198242188e-009,3.300000e+000,5.913266e-002,3.300000e+000,-2.315534e-003
3.020260620117188e-009,3.300000e+000,5.914405e-002,3.300000e+000,-2.316127e-003
3.021237182617188e-009,3.300000e+000,5.915923e-002,3.300000e+000,-2.316917e-003
3.021969604492188e-009,3.300000e+000,5.917060e-002,3.300000e+000,-2.317508e-003
3.022946166992188e-009,3.300000e+000,5.918576e-002,3.300000e+000,-2.318296e-003
3.024899291992188e-009,3.300000e+000,5.921606e-002,3.300000e+000,-2.319870e-003
3.025387573242188e-009,3.300000e+000,5.922363e-002,3.300000e+000,-2.320263e-003
3.026364135742188e-009,3.300000e+000,5.923876e-002,3.300000e+000,-2.321047e-003
3.028317260742188e-009,3.300000e+000,5.926900e-002,3.300000e+000,-2.322614e-003
3.028805541992188e-009,3.300000e+000,5.927655e-002,3.300000e+000,-2.323005e-003
3.029782104492188e-009,3.300000e+000,5.929165e-002,3.300000e+000,-2.323786e-003
3.031735229492188e-009,3.300000e+000,5.932182e-002,3.300000e+000,-2.325346e-003
3.032223510742188e-009,3.300000e+000,5.932936e-002,3.300000e+000,-2.325735e-003
3.033200073242188e-009,3.300000e+000,5.934443e-002,3.300000e+000,-2.326512e-003
3.035153198242188e-009,3.300000e+000,5.937455e-002,3.300000e+000,-2.328066e-003
3.035641479492188e-009,3.300000e+000,5.938207e-002,3.300000e+000,-2.328453e-003
3.036618041992188e-009,3.300000e+000,5.939711e-002,3.300000e+000,-2.329227e-003
3.038571166992188e-009,3.300000e+000,5.942716e-002,3.300000e+000,-2.330772e-003
3.042477416992188e-009,3.300000e+000,5.948717e-002,3.300000e+000,-2.333853e-003
