time,V(n010),V(n011),V(n014),I(Rchip2)
0.000000000000000e+000,3.300000e+000,2.453922e-002,0.000000e+000,-2.834279e-038
9.999999824516700e-015,3.300000e+000,2.453922e-002,1.100000e-005,-1.767511e-013
1.999999964903340e-014,3.300000e+000,2.453922e-002,2.200000e-005,-4.712445e-013
3.999999929806680e-014,3.300000e+000,2.453922e-002,4.400000e-005,-1.554606e-012
7.999999859613360e-014,3.300000e+000,2.453922e-002,8.800000e-005,-5.792682e-012
1.599999971922672e-013,3.300000e+000,2.453922e-002,1.760000e-004,-2.273924e-011
3.199999943845344e-013,3.300000e+000,2.453922e-002,3.520000e-004,-9.048799e-011
6.399999887690688e-013,3.300000e+000,2.453922e-002,7.040000e-004,-3.612304e-010
1.279999977538138e-012,3.300000e+000,2.453923e-002,1.408000e-003,-1.442599e-009
2.559999955076275e-012,3.300000e+000,2.453928e-002,2.816000e-003,-5.758698e-009
5.119999910152551e-012,3.300000e+000,2.453947e-002,5.632000e-003,-2.296904e-008
1.023999982030510e-011,3.300000e+000,2.454014e-002,1.126400e-002,-8.423902e-008
1.637203466772206e-011,3.300000e+000,2.454131e-002,1.800924e-002,-1.897837e-007
1.752474821057406e-011,3.300000e+000,2.454159e-002,1.927722e-002,-2.156225e-007
1.983017529627805e-011,3.300000e+000,2.454225e-002,2.181319e-002,-2.753035e-007
2.083879964627355e-011,3.300000e+000,2.454256e-002,2.292268e-002,-3.034801e-007
2.145934001785281e-011,3.300000e+000,2.454276e-002,2.360527e-002,-3.216016e-007
2.146050089269760e-011,3.300000e+000,2.454276e-002,2.360655e-002,-3.216361e-007
2.146057124874880e-011,3.300000e+000,2.454276e-002,2.360663e-002,-3.216382e-007
2.146071635810440e-011,3.300000e+000,2.454276e-002,2.360679e-002,-3.216425e-007
2.146072515261080e-011,3.300000e+000,2.454276e-002,2.360680e-002,-3.216434e-007
1.464607251526108e-010,3.300000e+000,2.479199e-002,1.611068e-001,-2.225330e-005
1.467048657776108e-010,3.300000e+000,2.479247e-002,1.613754e-001,-2.229619e-005
1.471931470276108e-010,3.300000e+000,2.479345e-002,1.619125e-001,-2.238226e-005
1.481697095276108e-010,3.300000e+000,2.479542e-002,1.629867e-001,-2.255540e-005
1.501228345276108e-010,3.300000e+000,2.479940e-002,1.651351e-001,-2.290584e-005
1.540290845276108e-010,3.300000e+000,2.480756e-002,1.694320e-001,-2.362324e-005
1.618415845276108e-010,3.300000e+000,2.482462e-002,1.780257e-001,-2.512346e-005
1.774665845276108e-010,3.300000e+000,2.486037e-002,1.952132e-001,-2.826602e-005
1.813728345276108e-010,3.300000e+000,2.486978e-002,1.995101e-001,-2.909167e-005
1.891853345276108e-010,3.300000e+000,2.488963e-002,2.081039e-001,-3.083438e-005
2.048103345276108e-010,3.300000e+000,2.493087e-002,2.252914e-001,-3.445106e-005
2.087165845276108e-010,3.300000e+000,2.494163e-002,2.295882e-001,-3.539378e-005
2.165290845276108e-010,3.300000e+000,2.496417e-002,2.381820e-001,-3.736729e-005
2.321540845276108e-010,3.300000e+000,2.501198e-002,2.553695e-001,-4.154699e-005
2.634040845276108e-010,3.300000e+000,2.511847e-002,2.897445e-001,-5.082239e-005
3.259040845276108e-010,3.300000e+000,2.536974e-002,3.584945e-001,-7.254944e-005
4.339279535768315e-010,3.300000e+000,2.589637e-002,4.773208e-001,-1.175834e-004
5.552311330824732e-010,3.300000e+000,2.659589e-002,6.107543e-001,-1.767001e-004
6.219979739698456e-010,3.300000e+000,2.703604e-002,6.841978e-001,-2.134563e-004
6.829188433823804e-010,3.300000e+000,2.747993e-002,7.512107e-001,-2.501055e-004
7.586197133269599e-010,3.300000e+000,2.807262e-002,8.344817e-001,-2.985398e-004
8.305220316928100e-010,3.300000e+000,2.866539e-002,9.135742e-001,-3.465864e-004
8.403454587630364e-010,3.300000e+000,2.874959e-002,9.243800e-001,-3.533652e-004
8.599923129034893e-010,3.300000e+000,2.892279e-002,9.459915e-001,-3.672360e-004
8.992860211843949e-010,3.300000e+000,2.927862e-002,9.892146e-001,-3.955676e-004
9.778734377462061e-010,3.300000e+000,3.001900e-002,1.075661e+000,-4.539827e-004
1.067514854207583e-009,3.300000e+000,3.090677e-002,1.174266e+000,-5.231427e-004
1.174644886487359e-009,3.300000e+000,3.202628e-002,1.292109e+000,-6.090490e-004
1.274899871467590e-009,3.300000e+000,3.313349e-002,1.402390e+000,-6.925010e-004
1.416859470378560e-009,3.300000e+000,3.480203e-002,1.558545e+000,-8.153093e-004
1.638323038598668e-009,3.300000e+000,3.753022e-002,1.802155e+000,-1.012223e-003
1.682326934893699e-009,3.300000e+000,3.810298e-002,1.850560e+000,-1.052523e-003
1.740998796620407e-009,3.300000e+000,3.888629e-002,1.915099e+000,-1.106906e-003
1.858342520073823e-009,3.300000e+000,4.050313e-002,2.044177e+000,-1.217077e-003
2.093029966980655e-009,3.300000e+000,4.383440e-002,2.302333e+000,-1.439977e-003
2.117057823938554e-009,3.300000e+000,4.418506e-002,2.328764e+000,-1.463026e-003
2.165113537854354e-009,3.300000e+000,4.490379e-002,2.381625e+000,-1.509503e-003
2.261224965685953e-009,3.300000e+000,4.637025e-002,2.487347e+000,-1.602946e-003
2.453447821349151e-009,3.300000e+000,4.936712e-002,2.698793e+000,-1.790830e-003
2.501503535264951e-009,3.300000e+000,5.013416e-002,2.751654e+000,-1.838045e-003
2.597614963096550e-009,3.300000e+000,5.170866e-002,2.857377e+000,-1.932947e-003
2.789837818759748e-009,3.300000e+000,5.491094e-002,3.068822e+000,-2.123261e-003
2.868648636724843e-009,3.300000e+000,5.625913e-002,3.155514e+000,-2.201582e-003
2.947459454689937e-009,3.300000e+000,5.762972e-002,3.242205e+000,-2.280053e-003
3.000000000000000e-009,3.300000e+000,5.855116e-002,3.300000e+000,-2.332410e-003
3.000583783836778e-009,3.300000e+000,5.856146e-002,3.300000e+000,-2.332992e-003
3.001751351510335e-009,3.300000e+000,5.858205e-002,3.300000e+000,-2.334153e-003
3.004086486857449e-009,3.300000e+000,5.862318e-002,3.300000e+000,-2.336469e-003
3.008756757551677e-009,3.300000e+000,5.870517e-002,3.300000e+000,-2.341073e-003
3.018097298940133e-009,3.300000e+000,5.886860e-002,3.300000e+000,-2.350220e-003
3.020432434287247e-009,3.300000e+000,5.890930e-002,3.300000e+000,-2.352490e-003
3.025102704981475e-009,3.300000e+000,5.899035e-002,3.300000e+000,-2.356988e-003
3.034443246369930e-009,3.300000e+000,5.915193e-002,3.300000e+000,-2.365928e-003
3.036778381717044e-009,3.300000e+000,5.919217e-002,3.300000e+000,-2.368147e-003
3.041448652411272e-009,3.300000e+000,5.927231e-002,3.300000e+000,-2.372544e-003
3.050789193799728e-009,3.300000e+000,5.943166e-002,3.300000e+000,-2.381233e-003
3.069470276576639e-009,3.300000e+000,5.974827e-002,3.300000e+000,-2.398382e-003
3.074140547270867e-009,3.300000e+000,5.982684e-002,3.300000e+000,-2.402604e-003
3.083481088659323e-009,3.300000e+000,5.998265e-002,3.300000e+000,-2.410900e-003
3.102162171436234e-009,3.300000e+000,6.029239e-002,3.300000e+000,-2.427280e-003
3.106832442130462e-009,3.300000e+000,6.036926e-002,3.300000e+000,-2.431313e-003
3.116172983518917e-009,3.300000e+000,6.052174e-002,3.300000e+000,-2.439236e-003
3.139524336990057e-009,3.300000e+000,6.090012e-002,3.300000e+000,-2.458731e-003
3.167545961155424e-009,3.300000e+000,6.134476e-002,3.300000e+000,-2.481076e-003
3.204908126709247e-009,3.300000e+000,6.192842e-002,3.300000e+000,-2.509843e-003
3.214248668097702e-009,3.300000e+000,6.207238e-002,3.300000e+000,-2.516816e-003
3.232929750874614e-009,3.300000e+000,6.235589e-002,3.300000e+000,-2.530272e-003
3.270291916428437e-009,3.300000e+000,6.291670e-002,3.300000e+000,-2.556495e-003
3.279632457816893e-009,3.300000e+000,6.305511e-002,3.300000e+000,-2.562850e-003
3.298313540593804e-009,3.300000e+000,6.332788e-002,3.300000e+000,-2.575112e-003
3.363697330312994e-009,3.300000e+000,6.426398e-002,3.300000e+000,-2.615958e-003
3.401059495866817e-009,3.300000e+000,6.478461e-002,3.300000e+000,-2.637712e-003
3.429081120032184e-009,3.300000e+000,6.516714e-002,3.300000e+000,-2.653146e-003
3.466443285586007e-009,3.300000e+000,6.567013e-002,3.300000e+000,-2.672943e-003
3.494464909751374e-009,3.300000e+000,6.604007e-002,3.300000e+000,-2.686982e-003
3.531827075305198e-009,3.300000e+000,6.652686e-002,3.300000e+000,-2.704985e-003
3.559848699470565e-009,3.300000e+000,6.688526e-002,3.300000e+000,-2.717746e-003
3.597210865024388e-009,3.300000e+000,6.735718e-002,3.300000e+000,-2.734105e-003
3.625232489189755e-009,3.300000e+000,6.770498e-002,3.300000e+000,-2.745695e-003
